"ParkCode","LocationType","StationID","variable","mean","sd","N","SE","parm","inc.10.4yr","inc.20.4yr","inc.50.4yr","inc.10.8yr","inc.20.8yr","inc.50.8yr","inc.10.12yr","inc.20.12yr","inc.50.12yr"
"ACAD","Stream","ACCADS","DO_mg.L",5.77,2.22487452829742,10,0.703567101751259,"min",0.905,0.939,0.987,1,1,1,1,1,1
"ACAD","Stream","ACCADS","FPH",6.10255555555556,0.178132753242568,9,0.0593775844141895,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACCADS","pH",5.455,0.289184677633131,10,0.0914482245742244,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACCADS","Specific conductance",21,4.85340659285368,10,1.53478192442951,"min",0.998,1,1,1,1,1,1,1,1
"ACAD","Stream","ACCADS","T_Dis_P_ugL",1.5,0.393700393700591,5,0.17606816861659,"min",0.921,0.951,0.991,1,1,1,1,1,1
"ACAD","Stream","ACCADS","TP_ug/L",1.47777777777778,0.528625050905124,9,0.176208350301708,"min",0.914,0.946,0.989,1,1,1,1,1,1
"ACAD","Stream","ACCADS","Water Temperature",9.286,1.26507970763374,10,0.400053329778252,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACDKLI","ACOLOR",34.8,7.79102047231298,5,3.48425027803687,"min",0.969,0.984,0.998,1,1,1,1,1,1
"ACAD","Stream","ACDKLI","ANC",7.64648,8.87532883627418,5,3.96916772011463,"min",0.162,0.183,0.25,0.401,0.461,0.64,0.519,0.59,0.78
"ACAD","Stream","ACDKLI","BP_mmHg",752.36,3.69972971985793,5,1.65456943039572,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACDKLI","Discharge",0.0144876,0.0220949036838815,5,0.00988114131869391,"min",0.115,0.128,0.171,0.257,0.296,0.426,0.334,0.385,0.549
"ACAD","Stream","ACDKLI","DO (%)",75.72,22.9317901612587,5,10.2554083292671,"min",0.853,0.897,0.97,1,1,1,1,1,1
"ACAD","Stream","ACDKLI","DO_mg.L",7.298,2.1096492599482,5,0.943463830785261,"min",0.877,0.917,0.979,1,1,1,1,1,1
"ACAD","Stream","ACDKLI","FPH",5.312,0.408741972398236,5,0.18279496710796,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACDKLI","pH",4.69,0.311688947510174,5,0.139391534893623,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACDKLI","Specific conductance",25.4,1.14017542509914,5,0.509901951359279,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACDKLI","TP_ug/L",4.1,1.95320249846246,5,0.873498712076898,"min",0.553,0.613,0.766,0.983,0.993,1,0.998,1,1
"ACAD","Stream","ACDKLI","Water Temperature",9.598,1.16557711027628,5,0.521261930319106,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","ACOLOR",8.6558,2.33082311641188,10,0.737070987083334,"min",0.992,0.997,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","Al_ugL",14.2482777777778,6.63771905058089,9,2.2125730168603,"min",0.77,0.824,0.932,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","ANC",52.8064,6.81073373759718,10,2.15374311477586,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","BP_mmHg",746.598760477,3.60263125550674,10,1.13925203371133,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","Ca_ueqL",67.8645,5.30178217939758,10,1.67657073449878,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","CHLA_ugL",1.11144444444444,0.22688935139794,9,0.0756297837993132,"min",0.999,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","Cl_ueqL",150.2,13.2228758008402,10,4.18144047481779,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","COND",32.129,1.32392052463717,10,0.418660429889852,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","DO (%)",8.37,11.7839863091118,10,3.72642366530341,"min",0.2,0.226,0.311,0.511,0.581,0.768,0.647,0.722,0.889
"ACAD","Lake","ACEAGL","DO_mg.L",0.873,1.19643033878097,10,0.378344493227476,"min",0.208,0.235,0.323,0.532,0.604,0.789,0.671,0.745,0.904
"ACAD","Lake","ACEAGL","DOC_mgL",1.8639,0.124672415197232,10,0.0394248793417445,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","eqPH",6.5976,0.616169926057559,10,0.194850039203942,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","FPH",6.3612,0.123526695270474,10,0.0390625708888246,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","K_ueqL",5.64867,0.503992709493126,10,0.159376488611784,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","Mg_ueqL",34.46931,1.95697870223465,10,0.618851003150193,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","Na_ueqL",156.4485,7.60427330518834,10,2.40468235948119,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","NO3_ueq/L",1.51833333333333,0.744994407137843,6,0.304142693119164,"min",0.595,0.656,0.805,0.991,0.997,1,0.999,1,1
"ACAD","Lake","ACEAGL","pH",5.53899995803833,0.29733820681437,10,0.0940265968923607,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","SO4_ueqL",48.3406145833333,7.08460234248902,10,2.24034797188296,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","Specific conductance",30.9,0.994428926011753,10,0.31446603773522,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","T_Dis_P_ugL",1.7,0.380788655293195,5,0.170293863659264,"min",0.969,0.984,0.998,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","TCOLOR",3.2154,0.739680441512114,10,0.233907493585724,"min",0.999,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","TN_mg/L",0.102222222222222,0.0211114766050233,9,0.00703715886834109,"min",0.999,1,1,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","TP_ug/L",2.68,1.10433489284526,10,0.349221356098901,"min",0.873,0.914,0.978,1,1,1,1,1,1
"ACAD","Lake","ACEAGL","Water Temperature",6.883,1.88345456836928,10,0.595600630549625,"min",0.99,0.996,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","ACOLOR",15.2371,4.62881646620146,10,1.46376029040884,"min",0.977,0.988,0.999,1,1,1,1,1,1
"ACAD","Lake","ACECHO","Al_ugL",24.696323,15.041471968563,10,4.75653107822358,"min",0.622,0.683,0.829,0.994,0.998,1,1,1,1
"ACAD","Lake","ACECHO","ANC",80.085918,10.1490550870795,10,3.20941301736896,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","BP_mmHg",750.314355065,5.03162878726902,10,1.59114073082409,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","Ca_ueqL",109.5805,7.88027905949755,10,2.49196304257418,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","CHLA_ugL",1.825,0.536060734535846,10,0.169517288531616,"min",0.982,0.992,0.999,1,1,1,1,1,1
"ACAD","Lake","ACECHO","Cl_ueqL",355.885485714286,16.1778543118969,10,5.11588672799702,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","COND",62.834,2.07749956544988,10,0.656963046483167,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","DO (%)",1.83,0.763107681348663,10,0.241315837303177,"min",0.867,0.909,0.976,1,1,1,1,1,1
"ACAD","Lake","ACECHO","DO_mg.L",0.201,0.084780763017195,10,0.0268100312901305,"min",0.861,0.904,0.973,1,1,1,1,1,1
"ACAD","Lake","ACECHO","DOC_mgL",2.8853,0.317050311464916,10,0.100260111709493,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","eqPH",6.8975,0.256131585105955,10,0.0809959189644076,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","FPH",6.478,0.12407882799074,10,0.0392371705854991,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","K_ueqL",9.41764,2.70783012235915,10,0.856291070346734,"min",0.985,0.993,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","Mg_ueqL",55.36498,1.90600176390265,10,0.602730679823086,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","Na_ueqL",339.8655,31.6890856999693,10,10.0209687780174,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","NO3_ueq/L",1.25714285714286,0.717349619216792,7,0.271132670790645,"min",0.545,0.604,0.758,0.98,0.992,1,0.998,0.999,1
"ACAD","Lake","ACECHO","pH",5.638,0.290088109220477,10,0.0917339147268398,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","SO4_ueqL",58.323,15.1133216071121,10,4.77925192891105,"min",0.994,0.998,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","Specific conductance",60,3.36650164612069,10,1.06458129484475,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","T_Dis_N_mgL",0.114,0.0091104335791443,5,0.00407430975749267,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","T_Dis_P_ugL",1.92,0.593295878967653,5,0.265329983228432,"min",0.842,0.887,0.966,1,1,1,1,1,1
"ACAD","Lake","ACECHO","TCOLOR",7.0677,2.41943281002433,10,0.765091832541834,"min",0.949,0.971,0.996,1,1,1,1,1,1
"ACAD","Lake","ACECHO","TN_mg/L",0.1152,0.0184679903256057,10,0.00584009132348687,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","TP_ug/L",4.34,1.07827021968831,10,0.340978982734518,"min",0.996,0.999,1,1,1,1,1,1,1
"ACAD","Lake","ACECHO","Water Temperature",8.251,2.08686607140947,10,0.659924995738152,"min",0.995,0.998,1,1,1,1,1,1,1
"ACAD","Stream","ACHADB","ACOLOR",9.0963,3.9013193224287,10,1.23370549384995,"min",0.852,0.896,0.97,1,1,1,1,1,1
"ACAD","Stream","ACHADB","ANC",29.3575611111111,14.3714323236625,9,4.79047744122083,"min",0.737,0.794,0.913,1,1,1,1,1,1
"ACAD","Stream","ACHADB","BP_mmHg",739.875018487,2.82766324111126,10,0.894185629784546,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHADB","Discharge",0.0264,0.0170697913806167,10,0.00539794199466591,"min",0.581,0.641,0.793,0.989,0.996,1,0.999,1,1
"ACAD","Stream","ACHADB","DO (%)",87.99,16.1190329183305,10,5.09728577011552,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHADB","DO_mg.L",8.595,1.64125460141523,10,0.519010276070394,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHADB","FPH",6.03166666666667,0.553895296965049,9,0.184631765655016,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHADB","NO2+NO3_mg/L",0.0208333333333333,0.0099079092984679,6,0.00404488703317053,"min",0.617,0.677,0.824,0.994,0.998,1,1,1,1
"ACAD","Stream","ACHADB","pH",5.727,0.312127110859235,10,0.0987032589803059,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHADB","Specific conductance",23.4,3.16929715306792,10,1.00221975855819,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHADB","T_Dis_P_ugL",1.38,0.576194411635517,5,0.257681974534502,"min",0.644,0.704,0.847,0.996,0.999,1,1,1,1
"ACAD","Stream","ACHADB","TN_mg/L",0.106125,0.0314980158105237,8,0.0111362302867712,"min",0.958,0.976,0.997,1,1,1,1,1,1
"ACAD","Stream","ACHADB","TP_ug/L",1.93,0.686456278449125,10,0.217076535402199,"min",0.936,0.962,0.994,1,1,1,1,1,1
"ACAD","Stream","ACHADB","Water Temperature",8.197,2.15957840535807,10,0.682918654664587,"min",0.993,0.997,1,1,1,1,1,1,1
"ACAD","Stream","ACHNTR","ACOLOR",10.8,2.68328157299975,5,1.2,"min",0.941,0.965,0.995,1,1,1,1,1,1
"ACAD","Stream","ACHNTR","BP_mmHg",750.772550626,7.14748324224909,5,3.19645167954191,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHNTR","Discharge",0.4016,0.17667144647622,5,0.0790098728008089,"min",0.607,0.668,0.816,0.993,0.998,1,0.999,1,1
"ACAD","Stream","ACHNTR","DO (%)",95.86,2.74007299172851,5,1.22539789456323,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHNTR","DO_mg.L",9.228,0.437401417464553,5,0.195611860581101,"min",1,1,1,1,1,1,1,1,1
