"Project","Park","NETNCode","Site","Date","LabCode","SampleTime","SampleDepth_m","pH_Lab","ANC_ueqL","AppColor_PCU","AppColorFlag","DOC_mgL","DOCFlag","TP_ugL","TPFlag","TN_mgL","TNFlag","NO2_mgL","NO2Flag","NH3_mgL","NH3Flag","NO3_ueqL","NO3Flag","SO4_ueqL","SO4Flag","Cl_ueqL","ClFlag","SEC2016","month","year","mon_year","Date","Sample Time","Stream_Lake Temp","Test Time","Bottle Temp","NH3-N mg/l","NH3 mg/l","PO4mg/L","PO4ug/L","NO2-Nug/l(meter)","NO2 ug/l(meter)","NO2 mg/l(meter)","NO3(strip)","Cl mg/L (meter)","Cl <U+00B5>eq/L (meter)","Cl quantab units (strip)","Cl mg/L (strip)","Cl ueq/L (strip)","Rain Event","QA/QC Notes","month","year"
"NETNStream","ACAD","ACLKWO","Lake Wood Outlet",2017-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACLKWO_20170908","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLVYB","Lurvey Brook",2017-05-08,"SWRL",1899-12-31 12:00:00,0.3,4.598,-18.6174,89.388,NA,10.64,NA,5.9,NA,0.154,NA,0.0017,NA,0.0165,NA,NA,"<MRL 1",57.955,NA,165.409714285714,NA,"ACLVYB_20170508","05","2017","052017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLVYB","Lurvey Brook",2017-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACLVYB_20170608","06","2017","062017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLVYB","Lurvey Brook",2017-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACLVYB_20170706","07","2017","072017",2017-07-06,"11:40",15,"15:00",19,0.32,0.388,0.07,70,NA,NA,NA,NA,11.5,324.4,NA,NA,NA,NA,NA,"07","2017"
"NETNStream","ACAD","ACLVYB","Lurvey Brook",2017-08-03,"SWRL",1899-12-31 10:30:00,0.2,5.841,36.69,100.463,NA,6.228,NA,15.5,NA,NA,NA,0.0018,NA,0.0122,NA,NA,"<MRL 1",69.05,NA,202.277142857143,NA,"ACLVYB_20170803","08","2017","082017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLVYB","Lurvey Brook",2017-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACLVYB_20170907","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLSIE","Lurvey Spring Brook (Echo Lake inlet)",2017-05-08,"SWRL",1899-12-31 10:50:00,0.2,5.678,24.5861,47,NA,6.932,NA,3.8,NA,0.104,NA,NA,"<MRL 0.001",0.0079,NA,NA,"<MRL 1",59.4272916666667,NA,269.472857142857,NA,"ACLSIE_20170508","05","2017","052017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLSIE","Lurvey Spring Brook (Echo Lake inlet)",2017-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACLSIE_20170608","06","2017","062017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLSIE","Lurvey Spring Brook (Echo Lake inlet)",2017-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACLSIE_20170706","07","2017","072017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACLSIE","Lurvey Spring Brook (Echo Lake inlet)",2017-08-07,"SWRL",1899-12-31 13:30:00,0.2,6.9,187.0852,24.21,NA,1.761,NA,4.1,NA,NA,NA,0.0016,NA,NA,"<MRL 0.005",1.92698412698413,NA,55.725,NA,583.074285714286,NA,"ACLSIE_20170807","08","2017","082017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
